应变量,,金融,时间,,推广能力,,,社交能力,,,,过往经验,,其他,,,档位设置,,,,,,,,,,,,,,,,,,,,,,,,,
项目进度,实际筹款金额,目标金额,项目开始日期,项目结束日期,图片数量,"是否包含视频
(是=1，否=0)",项目进展汇报数量,话题数量,关注数量,赞数量,无私奉献数量,以往项目发起数量,以往项目支持数量,项目支持人数总数,项目种类,档位数量 (不包含无私奉献),档位1金额,档位1限额,档位1支持人数,档位1奖品交付时间,"档位1免运费
(是=1，否=0)",档位2金额,档位2限额,档位2支持人数,档位2奖品交付时间,"档位2免运费
(是=1，否=0)",档位3金额,档位3限额,档位3支持人数,档位3奖品交付时间,"档位3免运费
(是=1，否=0)",档位4金额,档位4限额,档位4支持人数,档位4奖品交付时间,"档位4免运费
(是=1，否=0)",档位5金额,档位5限额,档位5支持人数,档位5奖品交付时间,"档位5免运费
(是=1，否=0)",档位数量总和
渚挎_寮___芥_姘__姘_____,107%,53441,50000, 2019-07-27, 2019-08-27,30,1,15,1,0,246,3,88,10,0, ___璐,30,108,500,397, ___璐,30,176,500,355, ___璐,30,,,,,,,,,,,,,,,
name,1,1,1,1,1,1,video number,项目进展汇报数量,以往发起数量,以往支持数量,总人数,档位数,第一档 金额,第一档限额,用限额减去这个数=人数,免运费,交货时间,,,,,,,,,,,,,,,,,,,,,,,,,
